question	correct	wrong1	wrong2	wrong3	explanation	time
As of September 2026, how many Partner States belong to the East African Community?	8	6	7	9	The EAC grew to eight Partner States when Somalia joined in 2024. The members are Burundi, the DR Congo, Kenya, Rwanda, Somalia, South Sudan, Tanzania and Uganda.	10
Which country became the newest full member of the East African Community in March 2024?	Somalia	Ethiopia	Eritrea	Djibouti	Somalia became the eighth Partner State on 4 March 2024. The DR Congo had joined earlier, in 2022, so Somalia is the most recent member.	10
Where is the headquarters of the East African Community located?	Arusha	Kampala	Nairobi	Dodoma	The EAC Secretariat sits in Arusha in northern Tanzania. Arusha also hosts the East African Court of Justice and the regional assembly.	10
In which year was the original East African Community dissolved?	1977	1984	1991	2000	The first EAC, formed in 1967 by Kenya, Tanzania and Uganda, broke apart in 1977 over political and economic disputes. The bloc was revived in 2000.	10
Which city has been Burundi's political capital since 2019?	Gitega	Ngozi	Bujumbura	Rumonge	In 2019 Burundi moved its political capital inland to Gitega. Bujumbura, the former capital, remains the country's largest city and economic centre.	10
Modern Tanzania was created in 1964 through the union of which two sovereign states?	Tanganyika and Zanzibar	Tanganyika and Pemba	Zanzibar and Kenya	Tanganyika and Uganda	Mainland Tanganyika and the islands of Zanzibar united on 26 April 1964. The name Tanzania blends the two: TAN from Tanganyika and ZAN from Zanzibar.	10
Which pair of countries are both outside the East African Community as of September 2026?	Ethiopia and Eritrea	Somalia and South Sudan	Burundi and Rwanda	Kenya and Djibouti	Ethiopia and Eritrea are both non-members. In every other pair at least one country has joined: Somalia, South Sudan, Burundi, Rwanda and Kenya are all Partner States.	10
On which date did South Sudan formally become independent?	9 July 2011	1 January 2011	14 July 2011	9 July 2012	South Sudan declared independence from Sudan on 9 July 2011 after a referendum. It became the world's newest widely recognised country and later joined the EAC.	10
Which ancient Red Sea port, now located in Eritrea, handled much of the Aksumite Kingdom's international trade?	Adulis	Zeila	Massawa	Berbera	Adulis, near modern Zula in Eritrea, was Aksum's main seaport. Through it the kingdom traded ivory and gold with Rome, Arabia and India.	10
At the Battle of Adwa in 1896, Ethiopian forces defeated the army of which European country?	Italy	Britain	France	Portugal	At Adwa in 1896 Emperor Menelik II's army defeated Italy and protected Ethiopia's independence. The victory made Ethiopia a symbol of African resistance to colonial rule.	10
Mount Kilimanjaro, Africa's highest mountain, is located in which country?	Tanzania	Kenya	Ethiopia	Uganda	Kilimanjaro rises in north-eastern Tanzania near the Kenyan border. At about 5,895 metres it is Africa's highest mountain and the world's tallest free-standing peak.	10
What is the name of the highest summit of Mount Kilimanjaro?	Uhuru Peak	Batian Peak	Mawenzi Peak	Nelion Peak	Uhuru Peak, meaning freedom in Swahili, is Kilimanjaro's highest point. Batian and Nelion belong to Mount Kenya, while Mawenzi is a lower peak on Kilimanjaro itself.	10
Which mountain is Africa's second-highest peak?	Mount Kenya	Ras Dashen	Mount Stanley	Mount Elgon	Mount Kenya's highest point, Batian at about 5,199 metres, makes it Africa's second-highest mountain after Kilimanjaro. Ras Dashen is Ethiopia's highest peak.	10
Margherita Peak, Africa's third-highest peak, belongs to which mountain range?	Rwenzori Mountains	Bale Mountains	Virunga Mountains	Simien Mountains	Margherita Peak, about 5,109 metres high, crowns Mount Stanley in the Rwenzori range on the Uganda and DR Congo border. The Rwenzori are famous for glaciers near the Equator.	10
Lake Tana is the principal source of which major river?	Blue Nile	White Nile	Omo River	Awash River	Lake Tana in the Ethiopian highlands feeds the Blue Nile, known in Ethiopia as the Abbay. It supplies most of the water that reaches the main Nile in Sudan and Egypt.	10
Which East African lake lies approximately 155 metres below sea level, making it Africa's lowest point?	Lake Assal	Lake Abbe	Lake Natron	Lake Turkana	Lake Assal in Djibouti sits about 155 metres below sea level, the lowest point in Africa. It is a salt lake, far saltier than the sea.	10
Which East African country has the longest coastline on mainland Africa?	Somalia	Tanzania	Kenya	Eritrea	Somalia has the longest coastline of any country on mainland Africa, over 3,000 kilometres along the Indian Ocean and the Gulf of Aden.	10
Lake Victoria is directly shared by which three countries?	Kenya, Tanzania and Uganda	Kenya, Rwanda and Tanzania	Burundi, Tanzania and Uganda	Kenya, Ethiopia and Uganda	Lake Victoria, Africa's largest lake by area, touches Kenya, Tanzania and Uganda. Tanzania holds the biggest share of its waters.	10
What is the name of the river that flows out of Lake Victoria near Jinja, Uganda?	Victoria Nile	Kagera River	Albert Nile	Sobat River	The Nile leaves Lake Victoria near Jinja and is called the Victoria Nile. The Kagera River is a main river flowing into the lake, not out of it.	10
Which East African lake is recognized as the largest desert lake in the world?	Lake Turkana	Lake Albert	Lake Tanganyika	Lake Abbe	Lake Turkana in northern Kenya is the world's largest permanent desert lake. Its greenish water gives it the nickname the Jade Sea.	10
The Rwenzori mountain chain lies along the border between which two countries?	Uganda and the Democratic Republic of the Congo	Kenya and Uganda	Rwanda and Burundi	Tanzania and Kenya	The Rwenzori Mountains form part of the border between Uganda and the DR Congo. They are often linked to the ancient idea of the Mountains of the Moon.	10
Bwindi Impenetrable National Park, famous for its mountain gorillas, is located in which country?	Uganda	Rwanda	Tanzania	Kenya	Bwindi Impenetrable National Park in south-western Uganda shelters about half of the world's remaining mountain gorillas. It is a UNESCO World Heritage site.	10
Which Kenyan protected area forms the northern continuation of the Serengeti ecosystem?	Maasai Mara National Reserve	Amboseli National Park	Tsavo East National Park	Samburu National Reserve	The Maasai Mara in Kenya is the northern part of the Serengeti and Mara ecosystem. Each year the great wildebeest migration crosses between the Mara and Tanzania's Serengeti.	10
UNESCO classifies Tanzania's Ngorongoro Conservation Area as which type of World Heritage property?	Mixed cultural and natural	Cultural only	Natural only	Archaeological only	UNESCO lists Ngorongoro as a mixed site. It is valued both for the wildlife in its huge crater and for early human fossils found at Olduvai Gorge nearby.	10
Lamu Old Town, described by UNESCO as East Africa's oldest and best-preserved Swahili settlement, is in which country?	Kenya	Tanzania	Somalia	Mozambique	Lamu Old Town lies on Lamu Island off the coast of Kenya. UNESCO calls it the oldest and best-preserved Swahili settlement in East Africa.	10
Stone Town, the historic centre of Zanzibar City, is located on which island?	Unguja	Pemba	Mafia	Lamu	Stone Town is the old heart of Zanzibar City on Unguja, the main island of the Zanzibar group. Pemba is the second-largest island of Zanzibar.	10
The historic buildings at Kilwa Kisiwani and Songo Mnara were constructed mainly using which materials?	Coral stone and lime mortar	Granite and clay	Basalt and timber	Sandstone and mud brick	The Swahili builders of Kilwa Kisiwani and Songo Mnara cut blocks of coral stone and bound them with lime mortar. These island towns in Tanzania grew rich from Indian Ocean trade.	10
How many medieval monolithic cave churches make up the famous UNESCO site at Lalibela?	11	9	10	12	Lalibela in northern Ethiopia has eleven churches carved down into solid rock in the 12th and 13th centuries. They were built as a new Jerusalem for Christian pilgrims.	10
According to UNESCO, approximately how many mosques and shrines are found within Harar Jugol?	82 mosques and 102 shrines	102 mosques and 82 shrines	72 mosques and 99 shrines	99 mosques and 120 shrines	UNESCO records 82 mosques and 102 shrines inside the walled town of Harar Jugol. Often called Islam's fourth holiest city, Harar packs this heritage into a small fortified area.	10
What name is given to the anthropomorphic wooden statues traditionally erected as grave markers in Ethiopia's Konso Cultural Landscape?	Waka	Mora	Daga-hela	Paleta	The Konso people of southern Ethiopia carve wooden statues called waka as grave markers for respected dead, such as heroes and community leaders. They stand in groups at burial sites.	10
